,combined_chargedescription,arrest_year,X,Y,arrestnumber,age,latitude,longitude,objectid,shape,arrest_month
0,!ST DEGREE ASSAUALT,2018,1411163.48030056,578280.81051384,18019467.0,29.0,39.254,-76.651,328036,0.0,2
1,"(DRIVING, ATT.TO DRIVE) VEH. W",2018,0.0,0.0,18040904.0,40.0,0.0,0.0,288713,0.0,3
2,"(DRIVING, ATTEMPTING TO DRIVE",2018,0.0,0.0,18030509.0,40.0,0.0,0.0,308549,0.0,2
3,"(DRIVING, ATTEMPTING TO DRIVE)",2018,0.0,0.0,18107040.0,26.0,0.0,0.0,165154,0.0,7
4,"(DRIVING, ATTEMPTING TO DRIVE)",2019,0.0,0.0,19013144.0,31.0,0.0,0.0,335598,0.0,1
5,0774091,2020,1421888.44562356,593439.759069723,20109756.0,44.0,39.2955,-76.6129,143414,0.0,7
6,0SD65435-40,2019,0.0,0.0,19136855.0,30.0,0.0,0.0,90982,0.0,9
7,1 1111,2019,4223439.35114242,1789003.412485702,57244638.0,69.0,117.9108,-229.9878,600696,0.0,17
8,1 1118,2019,1412584.13947004,591653.649105246,19117872.0,53.0,39.2907,-76.6458,128836,0.0,8
9,1 1415,2018,1429813.57087845,618170.105290863,18153314.0,23.0,39.3633,-76.5845,71169,0.0,10
10,1 5299,2022,1416134.68045659,581469.113543407,22039350.0,23.0,39.2627,-76.6334,262406,0.0,4
11,1 DEG MURDER,2021,1423368.08859191,591588.470556952,21054592.0,20.0,39.2904,-76.6077,249948,0.0,4
12,1 ST BURGLARY,2020,1421147.55277753,594638.608898053,20064271.0,33.0,39.2988,-76.6155,221675,0.0,5
13,1-1130,2019,1415728.28321869,598113.027236259,19125821.0,55.0,39.3084,-76.6346,113525,0.0,8
14,16 303C,2019,0.0,0.0,19102664.0,41.0,0.0,0.0,158815,0.0,7
15,1ST AND 2ND DEGREE ATTEMPTED M,2021,1424434.2854552,593742.069250223,21133747.0,45.0,39.2963,-76.6039,82953,0.0,9
16,1ST BURGLARY,2019,1406660.45630654,609406.150130553,19028560.0,26.0,39.3395,-76.6665,304236,0.0,2
17,1ST DEG ASLT,2022,1418129.56776056,599069.768837979,22096160.0,37.0,39.311,-76.6261,136092,0.0,8
18,1ST DEG ATT. MURDER,2020,1410332.85582442,595688.030968785,20080668.0,30.0,39.3018,-76.6537,191089,0.0,6
19,1ST DEG BURGLARY,2019,2818260.1864891,1191440.128995384,38175386.0,70.0,78.6038,-153.3159,376899,0.0,12
20,1ST DEG MURDER,2019,1422854.67705059,572646.141880265,19064608.0,53.0,39.2384,-76.6098,235683,0.0,5
21,1ST DEG MURDER,2020,1404661.99450983,590859.232390839,20095096.0,27.0,39.2886,-76.6738,166994,0.0,7
22,1ST DEG MURDER,2022,2841928.3091310402,1182689.906656303,44116059.0,46.0,78.5795,-153.23239999999998,445440,0.0,10
23,1ST DEG. MURDER,2018,1423368.08859191,591588.470556952,18112905.0,35.0,39.2904,-76.6077,154855,0.0,7
24,1ST DEG. MURDER,2022,1423368.08859191,591588.470556952,22143725.0,27.0,39.2904,-76.6077,25737,0.0,11
25,1ST DEG. RAPE,2018,1411023.00382032,577988.888731442,18100445.0,23.0,39.2532,-76.6515,178031,0.0,6
26,1ST DEGREE,2018,1442126.72248114,587305.053694371,18015586.0,18.0,39.2784,-76.5415,334577,0.0,1
27,1ST DEGREE ARSON,2020,1420679.59030784,591504.209797388,20155622.0,26.0,39.2902,-76.6172,66185,0.0,10
28,1ST DEGREE ASSUALT,2018,1440197.28051354,588206.024901742,18109727.0,27.0,39.2809,-76.5483,159982,0.0,7
29,1ST DEGREE ASSUALT,2019,64141671.883959,-1897792.260496432,38091847.0,67.0,0.0,0.0,541608,0.0,7
30,1ST DEGREE ASSULT,2018,1426569.08585563,590983.223279027,18078991.0,36.0,39.2887,-76.5964,220764,0.0,5
31,1ST DEGREE ASSULT,2020,32070835.9419795,-948896.130248216,20014530.0,33.0,0.0,0.0,331328,0.0,1
32,1ST DEGREE ATT MURDER,2021,1423435.76747121,595595.364463556,21093834.0,47.0,39.3014,-76.6074,168977,0.0,7
33,1ST DEGREE ATT MURDER,2022,1403749.04989327,592895.702622708,22027066.0,15.0,39.2942,-76.677,289667,0.0,3
34,1ST DEGREE ATTEMPT MURDER,2020,1419742.40215571,592265.192286393,20198605.0,61.0,39.2923,-76.6205,63,0.0,12
35,1ST DEGREE ATTEMPT MURDER,2022,1425046.57411627,596112.274583146,22120241.0,34.0,39.3028,-76.6017,81082,0.0,9
36,1ST DEGREE ATTEMPTED MURDER,2021,1416270.74413912,596913.220793753,21129191.0,50.0,39.3051,-76.6327,92032,0.0,9
37,1ST DEGREE BURGLARY,2018,2832362.75185306,1188363.729083201,36304317.0,70.0,78.5952,-153.2661,154981,0.0,20
38,1ST DEGREE BURGLARY,2019,9983834.48742487,4092960.377619665,133464700.0,235.0,274.9003,-536.1831,1616420,0.0,34
39,1ST DEGREE BURGLARY,2020,1396883.49470671,615200.13974431,20158971.0,31.0,39.3555,-76.701,60351,0.0,10
40,1ST DEGREE BURGLARY,2021,1435158.33674913,606102.114861662,21119261.0,26.0,39.3301,-76.5658,115409,0.0,8
41,1ST DEGREE BURGLARY,2022,4249310.77358717,1778832.3991867309,66377502.0,110.0,117.8826,-229.8965,202210,0.0,30
42,1ST DEGREE MURDER,2018,8530647.4799718,3541812.093195253,108818502.0,182.0,235.72129999999999,-459.6801,637579,0.0,53
43,1ST DEGREE MURDER,2019,12805512.03100567,5304100.043965365,172020306.0,218.0,353.5582,-689.4866,1232956,0.0,71
44,1ST DEGREE MURDER,2020,11386357.59164706,4759889.959183523,160405322.0,239.0,314.3978,-612.8632,2062802,0.0,31
45,1ST DEGREE MURDER,2021,15657211.21396899,6526642.185415095,231533687.0,395.0,432.24699999999996,-842.6838,2878709,0.0,41
46,1ST DEGREE MURDER,2022,5690666.702508951,2411605.240564041,88381301.0,202.0,157.2858,-306.4401,551350,0.0,30
47,1ST DEGREE MURGER,2019,1422974.67600908,617338.5469883,19054857.0,27.0,39.3611,-76.6087,253087,0.0,4
48,1ST DEGREE RAPE,2018,1423368.08859191,591588.470556952,18176754.0,38.0,39.2904,-76.6077,28179,0.0,11
49,1ST DEGREE RAPE,2019,1420669.39484461,600682.945205972,19074632.0,29.0,39.3154,-76.6171,216677,0.0,5
50,1ST DEGREE RAPE,2020,1421751.56726587,592346.470038513,20146373.0,28.0,39.2925,-76.6134,81132,0.0,9
51,1ST DEGREE RAPE,2022,1442096.40562099,604606.232887234,22050095.0,42.0,39.3259,-76.5413,239542,0.0,4
52,1ST RAPE,2018,1423972.50027547,595816.220722968,18097308.0,23.0,39.302,-76.6055,185019,0.0,6
53,2 0480,2019,1411973.97026609,588409.598022475,19096901.0,20.0,39.2818,-76.648,171050,0.0,7
54,2 0910,2022,1417412.11961441,594586.721943526,22031295.0,32.0,39.2987,-76.6287,278929,0.0,3
55,2ND  DEGREE CHILD ABUSE,2019,1420669.39484461,600682.945205972,19143879.0,24.0,39.3154,-76.6171,77116,0.0,10
56,2ND DEG ASLT,2018,1424176.2696476,614101.95805295,18048616.0,26.0,39.3522,-76.6045,274890,0.0,3
57,2ND DEG ASLT,2022,0.0,0.0,22083339.0,25.0,0.0,0.0,164939,0.0,7
58,2ND DEG ASSAULLT,2020,1432555.09082855,588023.646697343,20008783.0,32.0,39.2805,-76.5753,342841,0.0,1
59,2ND DEG ESCAPE,2022,32070835.9419795,-948896.130248216,22007429.0,19.0,0.0,0.0,338670,0.0,1
60,2ND DEG RAPE,2022,2822854.18435871,1212040.032066559,44135102.0,81.0,78.6603,-153.2994,403834,0.0,12
61,2ND DEGREE,2020,1404057.39506188,593734.537109838,20178315.0,50.0,39.2965,-76.6759,31704,0.0,11
62,2ND DEGREE ASAULT,2019,1418399.00099734,574776.440769133,19160197.0,31.0,39.2443,-76.6255,44318,0.0,11
63,2ND DEGREE ASAULT,2020,1433903.53053007,620265.242827064,20062303.0,40.0,39.369,-76.57,223590,0.0,5
64,2ND DEGREE ASAULT,2021,1397393.8436477,606205.075133331,21103173.0,49.0,39.3308,-76.6993,149620,0.0,7
65,2ND DEGREE ASSAILT,2019,1440566.35459645,587989.312085604,19140330.0,45.0,39.2803,-76.547,83058,0.0,9
66,2ND DEGREE ASSAUT,2018,1424529.10810475,571888.4692037,18041774.0,23.0,39.2363,-76.6039,287578,0.0,3
67,2ND DEGREE ASSSAULT,2021,1413891.18806412,597559.383178355,21002523.0,41.0,39.3069,-76.6411,356711,0.0,1
68,2ND DEGREE ASSUALT,2018,4307125.24100842,1782842.10520236,54225634.0,72.0,117.8929,-229.6922,671210,0.0,15
69,2ND DEGREE ASSUALT,2020,1427937.03496837,569900.214071187,20060302.0,31.0,39.2308,-76.5919,228479,0.0,5
70,2ND DEGREE ASSUALT,2021,36358799.92640168,832432.603246241,84218389.0,127.0,117.889,-229.75990000000002,999123,0.0,16
71,2ND DEGREE ASSUALT,2022,1396964.51970119,599101.023386022,22134928.0,25.0,39.3113,-76.7009,45971,0.0,11
72,2ND DEGREE ASSULT,2018,1419242.90406977,589859.16545288,18052043.0,33.0,39.2857,-76.6223,269763,0.0,3
73,2ND DEGREE ASSULT,2019,2876850.41127719,1207136.78403438,38333271.0,73.0,78.6462,-153.1086,62270,0.0,23
74,2ND DEGREE ASSULT,2021,1422840.72426666,608996.816664949,21138596.0,42.0,39.3382,-76.6093,70994,0.0,10
75,2ND DEGREE B&E,2018,1403711.41880594,603531.288974727,18179659.0,67.0,39.3234,-76.677,24023,0.0,12
76,2ND DEGREE B&E,2021,1428955.02908117,601666.049568757,21013457.0,36.0,39.318,-76.5878,335510,0.0,1
77,2ND DEGREE BURGLARY,2019,39165506.16658143,2036543.0669928743,114587520.0,174.0,196.5277,-383.1164,1011568,0.0,40
78,2ND DEGREE BURGLARY,2020,7105594.34816657,2994592.359941759,100524502.0,188.0,196.55270000000002,-383.0777,770329,0.0,35
79,2ND DEGREE BURGLARY,2021,2841903.4600907797,1222217.278861064,42222092.0,73.0,78.688,-153.2319,258138,0.0,16
80,2ND DEGREE MURDER,2018,1423170.45566935,571664.071554843,18074392.0,34.0,39.2357,-76.6087,228600,0.0,5
81,2ND DEGREE MURDER,2019,1422036.64753724,618500.124397023,19111574.0,54.0,39.3643,-76.612,141432,0.0,8
82,2ND DEGREE RAPE,2019,5675056.74307464,2421329.783380323,76351100.0,186.0,157.3127,-306.4951,754564,0.0,24
83,2ND DEGREE RAPE,2020,2825329.17681129,1192161.369001293,40050188.0,90.0,78.6057,-153.2909,613572,0.0,4
84,2ND DEGREE RAPE,2021,2845261.31901883,1171151.189335457,42155907.0,39.0,78.5478,-153.2208,399781,0.0,12
85,2ND DEGREE RAPE,2022,1442588.86066852,591095.439143313,22052078.0,32.0,39.2888,-76.5398,234522,0.0,5
86,2ND DEGREE SEX OFFENSE,2019,1420669.39484461,600682.945205972,19166296.0,19.0,39.3154,-76.6171,31740,0.0,11
87,3RD & 4TH DEGREE SEX OFFENSE,2022,1411832.82705899,595657.340939224,22090773.0,63.0,39.3017,-76.6484,149580,0.0,7
88,3RD DEG SEX OFFENSE,2021,1426146.82604322,571167.078328949,21034315.0,35.0,39.2343,-76.5982,290726,0.0,3
89,3RD DEGREE BURLARY,2020,1416384.3736957,596804.407068539,20025187.0,56.0,39.3048,-76.6323,308435,0.0,2
90,3RD DEGREE SEX OFFENCE,2021,1405570.68014122,613554.541203858,21126472.0,23.0,39.3509,-76.6703,98207,0.0,9
91,3RD DEGREE SEX OFFENSE,2018,1423368.08859191,591588.470556952,18065568.0,39.0,39.2904,-76.6077,244002,0.0,4
92,4 DEGREE BURGLARY,2018,2821511.6242223,1177319.787454256,36196997.0,72.0,78.565,-153.3046,366076,0.0,12
93,4 DEGREE BURGLARY,2021,1414060.10734423,597778.590234325,21135258.0,46.0,39.3075,-76.6405,79119,0.0,10
94,4T DEGREE BURGLARY,2019,1424389.22045359,571487.209266041,19113162.0,33.0,39.2352,-76.6044,137203,0.0,8
95,4TH BREAKING AND ENTERING,2019,1440877.9142373,587954.436410749,19017035.0,51.0,39.2802,-76.5459,326947,0.0,2
96,4TH BURGLARY,2018,1424654.83284506,595090.703877261,18172682.0,19.0,39.3,-76.6031,36161,0.0,11
97,4TH BURGLARY,2019,1418104.25561124,598341.189433136,19039528.0,29.0,39.309,-76.6262,281212,0.0,3
98,4TH BURGLARY,2021,1425836.7054661,590178.676764437,21015482.0,39.0,39.2865,-76.599,330216,0.0,1
99,4TH DEG B & E,2018,1414618.10261254,599784.101039858,18123877.0,63.0,39.313,-76.6385,131013,0.0,8
100,4TH DEG B&E,2018,2822472.65794535,1214767.943081425,36304260.0,95.0,78.6678,-153.3007,154127,0.0,20
101,4TH DEG B&E,2021,1396955.21134159,601942.044230683,21022427.0,54.0,39.3191,-76.7009,316722,0.0,2
102,4TH DEG B+E,2019,1408921.34128233,587196.035154414,19077193.0,36.0,39.2785,-76.6588,211552,0.0,5
103,4TH DEG BURGLARY,2018,2846769.87638174,1174474.640046023,36113912.0,82.0,78.5569,-153.2154,513799,0.0,8
104,4TH DEG BURGLARY,2020,5654864.8679515,2407956.11239615,80483380.0,155.0,157.27620000000002,-306.5666,496731,0.0,32
105,4TH DEG BURGLARY,2021,1419118.24284932,592626.841140179,21046976.0,31.0,39.2933,-76.6227,265597,0.0,4
106,4TH DEG SEX OFFENSE,2018,1422772.53893333,605099.149305939,18045364.0,37.0,39.3275,-76.6096,281249,0.0,3
107,4TH DEG SEX OFFENSE,2019,1411500.00471912,601265.317739562,19088571.0,37.0,39.3171,-76.6495,186968,0.0,6
108,4TH DEG SEX OFFENSE,2021,1430124.24444574,593439.571196381,21045170.0,20.0,39.2954,-76.5838,268617,0.0,3
109,4TH DEG. BURGLARY,2018,32070835.9419795,-948896.130248216,18040697.0,49.0,0.0,0.0,290856,0.0,3
110,4TH DEG. BURGLARY,2022,1416465.44859892,597751.750855969,22120509.0,47.0,39.3074,-76.632,79068,0.0,10
111,4TH DEG.BURG.,2021,1419118.24284932,592626.841140179,21006713.0,26.0,39.2933,-76.6227,349139,0.0,1
112,4TH DEGRE B+E,2020,1427605.93956356,612332.254227924,20113964.0,42.0,39.3473,-76.5924,136132,0.0,8
113,4TH DEGREE B & E,2018,1406330.54386186,599024.137237747,18042895.0,25.0,39.311,-76.6678,286531,0.0,3
114,4TH DEGREE B AND E,2018,1424949.92837862,598807.213492895,18007270.0,52.0,39.3102,-76.602,347287,0.0,1
115,4TH DEGREE B&E,2018,10001145.08399681,4193887.258637724,126571558.0,225.0,275.17719999999997,-536.1203,1466441,0.0,36
116,4TH DEGREE B&E,2019,36321517.51513244,851330.563252867,76567265.0,104.0,117.94130000000001,-229.8913,323298,0.0,38
117,4TH DEGREE B&E,2020,4255648.6013042,1833793.392683689,60355188.0,103.0,118.0334,-229.87329999999997,389320,0.0,24
118,4TH DEGREE B+E,2018,1413634.92475329,590747.159115745,18147752.0,25.0,39.2882,-76.6421,83100,0.0,9
119,4TH DEGREE BREAKING AND ENTERI,2021,1435652.35586344,591498.486138656,21145635.0,41.0,39.29,-76.5643,54550,0.0,10
120,4TH DEGREE BURGLARY,2018,53321108.6029565,8031891.466913666,289685934.0,461.0,589.6507,-1149.4681,2677360,0.0,106
121,4TH DEGREE BURGLARY,2019,28493479.81484659,11834534.614783756,381990147.0,640.0,785.8152,-1532.0616,3295693,0.0,138
122,4TH DEGREE BURGLARY,2020,60396742.51736996,10972843.356006743,422188148.0,721.0,786.0563999999999,-1532.6526000000001,3306330,0.0,147
123,4TH DEGREE BURGLARY,2021,18454117.3531351,7802993.836050969,273849802.0,397.0,511.08410000000003,-996.0739,2947450,0.0,63
124,4TH DEGREE BURGLARY,2022,12783247.71908147,5382767.361547107,198871960.0,357.0,353.7744,-689.5641,1191650,0.0,69
125,4TH DEGREE BURGLRY,2020,1431957.41097621,594832.095798879,20017142.0,54.0,39.2992,-76.5773,324676,0.0,2
126,4TH DEGREE BURGURALY,2019,1422758.57735925,601748.085395299,19091141.0,54.0,39.3183,-76.6097,181950,0.0,6
127,4TH DEGREE BURLARY,2019,1429359.94800296,593472.521632105,19054628.0,55.0,39.2955,-76.5865,254167,0.0,4
128,4TH DEGREE BURLGARY,2021,1415284.97954739,588641.117872195,21154289.0,33.0,39.2824,-76.6363,30944,0.0,11
129,4TH DEGREE SEX OFFENSE,2018,34917176.5013977,233739.75595540006,72511134.0,208.0,78.5793,-153.2168,486060,0.0,32
130,4TH DEGREE SEX OFFENSE,2019,14228589.31777849,6023557.2488560295,191369100.0,312.0,393.1996,-766.0934,901790,0.0,93
131,4TH DEGREE SEX OFFENSE,2020,4287919.0534428395,1772112.750433518,60248365.0,92.0,117.8637,-229.7602,577326,0.0,17
132,4TH DEGREE SEX OFFENSE,2021,2853643.2740044296,1195336.58825838,42056831.0,69.0,78.61410000000001,-153.1908,605785,0.0,5
133,4TH DEGREE SEX OFFENSE,2022,33474740.091242693,-335893.916603168,44185078.0,75.0,39.3494,-76.6762,288447,0.0,15
134,4TH DGREE BURGLARY,2018,1434211.12134972,591018.14003632,18168255.0,46.0,39.2887,-76.5694,43472,0.0,11
135,A & R COMMERIAL,2018,1422715.75251262,611764.519427679,18005095.0,16.0,39.3458,-76.6097,352747,0.0,1
136,ABDUCT CHILD - CUST OUT ST,2019,0.0,0.0,19028547.0,33.0,0.0,0.0,304245,0.0,2
137,ABDUCT CHILD UNDER 12,2021,0.0,0.0,21111044.0,32.0,0.0,0.0,133962,0.0,8
138,ABDUCT CHILD/RELATIV IN ST,2019,0.0,0.0,19120977.0,28.0,0.0,0.0,122508,0.0,8
139,ABDUCT CHILD/RELATIV IN ST,2021,0.0,0.0,42167095.0,65.0,0.0,0.0,368008,0.0,12
140,ABDUCTION,2019,2812642.66530924,1171969.004901413,38188233.0,79.0,78.5504,-153.336,352111,0.0,13
141,ABDUCTION,2020,1430360.13328745,609940.69830926,20146349.0,30.0,39.3407,-76.5827,81138,0.0,9
142,ABDUCTION,2021,2849500.02180536,1185703.0360507001,42137072.0,57.0,78.5877,-153.2056,437854,0.0,10
143,ABDUCTION,2022,71236808.7714182,1063821.238931538,154560992.0,212.0,196.4623,-383.1151,1197743,0.0,47
144,ABUSE OF ANIMALS,2019,0.0,0.0,19174698.0,26.0,0.0,0.0,16036,0.0,12
145,ABUSE OF VULNERABLE ADULT,2021,1444526.08348361,605237.766191987,21048202.0,33.0,39.3276,-76.5327,262421,0.0,4
146,ACCESS AFTER THE FACT,2022,0.0,0.0,22139792.0,34.0,0.0,0.0,35096,0.0,11
147,ACCESSORY AFTER FACT MURDER 1S,2018,0.0,0.0,36241017.0,54.0,0.0,0.0,275206,0.0,16
148,ACCESSORY AFTER FACT MURDER 1S,2021,0.0,0.0,42095609.0,50.0,0.0,0.0,528979,0.0,7
149,ACCESSORY AFTER FACT MURDER 1S,2022,0.0,0.0,44160053.0,55.0,0.0,0.0,343463,0.0,14
150,ACCESSORY AFTER THE FACT,2019,1430360.13328745,609940.69830926,19111241.0,25.0,39.3407,-76.5827,141430,0.0,8
151,ACCESSORY AFTER THE FACT,2022,1408143.04773801,598593.711698855,22124866.0,29.0,39.3098,-76.6614,69043,0.0,10
152,ACCESSORY AFTER THE STATUTE,2020,0.0,0.0,20146404.0,21.0,0.0,0.0,81153,0.0,9
153,ACCESSORY BEFORE THE FACT,2019,0.0,0.0,19034965.0,22.0,0.0,0.0,291946,0.0,3
154,ACT AS CONTRACTOR W/O LICNS,2019,0.0,0.0,38307938.0,77.0,0.0,0.0,112077,0.0,21
155,ACT AS CONTRACTOR W/O LICNS,2022,0.0,0.0,22131764.0,43.0,0.0,0.0,52808,0.0,10
156,ACT AS CONTRACTOR W/O LICNSE,2019,0.0,0.0,38274679.0,83.0,0.0,0.0,178705,0.0,18
157,ACT AS CONTRACTOR W/O LICNSE,2020,0.0,0.0,40239406.0,99.0,0.0,0.0,259633,0.0,16
158,ACT AS CONTRACTOR W/O LICNSE,2022,0.0,0.0,66165452.0,138.0,0.0,0.0,683765,0.0,15
159,ACT AS CONTRCTOR W/O LICNS,2018,0.0,0.0,18045011.0,43.0,0.0,0.0,283262,0.0,3
160,ACT AS CONTRCTOR W/O LICNS,2019,0.0,0.0,19147593.0,21.0,0.0,0.0,69127,0.0,10
161,AFFRAY,2018,7108797.34276636,2952337.3693513568,108882700.0,145.0,196.4367,-383.067,511687,0.0,57
162,AFFRAY,2019,5715534.86545477,2406375.974618662,76232215.0,82.0,157.2712,-306.3522,996853,0.0,16
163,AFFRAY,2020,2865635.76125052,1196884.103911326,40264188.0,73.0,78.6182,-153.1484,208735,0.0,18
164,AFFRAY,2021,46291526.353953645,4966824.128865876,232145415.0,316.0,392.9037,-766.1229,1614224,0.0,82
165,AFFRAY,2022,2853894.1040591,1177453.271138504,44123480.0,41.0,78.565,-153.1902,428999,0.0,10
166,AFRAY,2018,2839326.88236824,1188645.964131148,36284170.0,48.0,78.5959,-153.2415,189766,0.0,18
167,AFRAY,2021,1422717.89318712,591403.566628016,21100389.0,23.0,39.2899,-76.61,154756,0.0,7
168,AGG,2022,1427212.84249758,605337.064501362,22132929.0,18.0,39.3281,-76.5939,49889,0.0,11
169,AGG ASAULT,2018,2845024.5399949104,1185976.497811073,36050665.0,107.0,78.5885,-153.2214,634622,0.0,3
170,AGG ASAULT,2019,1402534.49014025,592199.386913663,19114195.0,21.0,39.2923,-76.6813,136140,0.0,8
171,AGG ASAULT,2020,1396152.87250475,605071.876701332,20105009.0,18.0,39.3277,-76.7037,151682,0.0,7
172,AGG ASAULT,2022,1398017.61183108,605770.050419485,22150443.0,41.0,39.3296,-76.6971,12513,0.0,12
173,AGG ASLT,2018,2823083.02740894,1194450.085153502,36233300.0,125.0,78.612,-153.2988,291779,0.0,15
174,AGG ASLT,2019,1434117.62568931,592838.883190975,19097089.0,27.0,39.2937,-76.5697,170121,0.0,7
175,AGG ASLT,2020,8541501.47545168,3582775.393972035,120656135.0,177.0,235.8336,-459.6411,870246,0.0,45
176,AGG ASLT,2021,40595615.629464716,2599237.70565001,147639342.0,222.0,235.7387,-459.7008,1204656,0.0,46
177,AGG ASLT,2022,4219603.22471191,1791650.149570169,66238338.0,90.0,117.91810000000001,-230.00130000000001,519416,0.0,19
178,AGG ASS SHOOTING,2020,1433844.42822581,602781.309513729,20169828.0,35.0,39.321,-76.5705,43343,0.0,11
179,AGG ASSLT,2019,1424925.91955896,597823.665822921,19008554.0,32.0,39.3075,-76.6021,346218,0.0,1
180,AGG ASSTULT BY CUTTING,2021,1425041.47937609,610244.750959161,21041668.0,34.0,39.3416,-76.6015,275831,0.0,3
181,AGG ASSUALT,2018,2843389.0041773897,1165643.556588371,36082200.0,90.0,78.5327,-153.2275,578235,0.0,6
182,AGG ASSUALT,2020,2855546.0859697396,1181540.090000193,40194165.0,63.0,78.5762,-153.1843,344365,0.0,13
183,AGG ASSUALT,2021,4272088.97416099,1775768.723961149,63181102.0,147.0,117.87389999999999,-229.8161,713222,0.0,14
184,AGG ASSUALT,2022,1420986.38545938,606038.596877374,22008978.0,37.0,39.3301,-76.6159,334425,0.0,1
185,AGG ASSUALT BY CUTTING (DOSMES,2019,1435186.79732372,606065.826127526,19017819.0,32.0,39.33,-76.5657,325760,0.0,2
186,AGG ASSULT,2018,2839654.8425001903,1184029.164699175,36167491.0,58.0,78.5832,-153.24040000000002,409886,0.0,11
187,AGG ASSULT,2019,1428602.6365154,566770.823355035,19024552.0,62.0,39.2222,-76.5896,313797,0.0,2
188,AGG ASSULT,2022,1410111.46136992,601842.805085862,22113245.0,29.0,39.3187,-76.6544,95997,0.0,9
189,AGG PANHANDLING,2018,1412413.55102225,577229.348859543,18059042.0,29.0,39.2511,-76.6466,255285,0.0,4
190,AGG. ASSAUT,2022,1413433.37552441,591620.534551606,22034612.0,41.0,39.2906,-76.6428,270606,0.0,3
191,AGG. ASSULT,2018,32070835.9419795,-948896.130248216,18134706.0,44.0,0.0,0.0,108261,0.0,9
192,AGG. ASSULT,2019,1432298.20067144,570175.039439824,19107621.0,25.0,39.2315,-76.5765,149663,0.0,7
193,AGGRAVATED,2021,1416788.01690913,587955.103911116,21103005.0,30.0,39.2805,-76.631,151650,0.0,7
194,AGGRAVATED ANIMAL CRUELTY,2020,1411229.61932519,583198.197601942,20188209.0,37.0,39.2675,-76.6507,16010,0.0,12
195,AGGRAVATED ASAAULT,2018,1434022.92570295,600924.52694807,18155481.0,43.0,39.3159,-76.5699,67267,0.0,10
196,AGGRAVATED ASLT,2020,5695489.50113307,2400025.706822393,80209219.0,158.0,157.25400000000002,-306.42319999999995,1017127,0.0,15
197,AGGRAVATED ASLT,2021,1400934.52659826,613064.699515997,21043155.0,68.0,39.3496,-76.6867,273691,0.0,3
198,AGGRAVATED ASLT,2022,34899147.54333811,250714.45568047906,66276266.0,106.0,78.62610000000001,-153.2803,432008,0.0,23
199,AGGRAVATED ASSALT,2022,1420655.18689933,604070.309638318,22020295.0,30.0,39.3247,-76.6171,306191,0.0,2
200,AGGRAVATED ASSAUALT,2021,32070835.9419795,-948896.130248216,21146591.0,23.0,0.0,0.0,51926,0.0,10
201,AGGRAVATED ASSAUIT,2019,1435775.33145028,613134.933865961,19042635.0,36.0,39.3494,-76.5635,275910,0.0,3
202,AGGRAVATED ASSAUKT,2019,1409203.91234125,594882.453057089,19042089.0,44.0,39.2996,-76.6577,278027,0.0,3
203,AGGRAVATED ASSAUL,2019,1419998.18662234,592011.29168887,19040574.0,19.0,39.2916,-76.6196,280065,0.0,3
204,AGGRAVATED ASSAULLT,2018,1429240.80990168,594783.235992003,18084350.0,23.0,39.2991,-76.5869,210603,0.0,5
205,AGGRAVATED ASSSAULT,2022,1419608.90436117,590334.18832223,22015889.0,38.0,39.287,-76.621,317623,0.0,2
206,AGGRAVATED ASSUALT,2018,1406528.58201669,614541.472025991,18015342.0,73.0,39.3536,-76.6669,335649,0.0,1
207,AGGRAVATED ASSUALT,2019,4228389.74888844,1823885.2309790011,57358730.0,112.0,118.0065,-229.96980000000002,374318,0.0,24
208,AGGRAVATED ASSUALT,2020,2830838.65434979,1209995.5267231022,40211985.0,58.0,78.65459999999999,-153.2712,321105,0.0,14
209,AGGRAVATED ASSUALT,2022,1399381.13444036,620854.206919679,22002380.0,28.0,39.371,-76.6921,356685,0.0,1
210,AGGRAVATED ASSULT,2020,2852292.5197751196,1200686.182933058,40114778.0,110.0,78.6288,-153.1955,490282,0.0,8
211,AGGRAVATED ASSULT BY POINTING,2018,1401226.30791844,594016.029519478,18045464.0,27.0,39.2973,-76.6859,281233,0.0,3
212,AGGRAVATED CRUELTY ANIMAL,2018,0.0,0.0,36114628.0,71.0,0.0,0.0,518868,0.0,8
213,AGGRAVATED CRUELTY ANIMAL,2019,0.0,0.0,19178614.0,34.0,0.0,0.0,8640,0.0,12
214,AGGRAVATED CRUELTY ANIMAL,2021,0.0,0.0,21153990.0,68.0,0.0,0.0,33332,0.0,11
215,AGGRAVATED CRUELTY ANIMAL,2022,0.0,0.0,88454628.0,136.0,0.0,0.0,387676,0.0,36
216,AGGRAVTED ASAAULT,2021,1431087.65582399,593189.015610788,21070531.0,29.0,39.2947,-76.5804,217585,0.0,5
217,AGGRESSIVE PANHANDLING,2018,1423650.96357431,591626.111328418,18184590.0,41.0,39.2905,-76.6067,15296,0.0,12
218,AGGRESSIVE PANHANDLING,2020,1424135.89950057,590754.038843321,20007152.0,20.0,39.2881,-76.605,347154,0.0,1
219,AGGRESSIVE PANHANDLING/ SQUEEG,2018,1424135.89950057,590754.038843321,18116694.0,18.0,39.2881,-76.605,145556,0.0,7
220,AGGRIVATED ASSULT,2018,1411579.63521188,587898.152428501,18175853.0,23.0,39.2804,-76.6494,28892,0.0,11
